date,fieldnum,temp,maxtemp,mintemp,RH,windspeed,maxwind,precipitation,categorical
2/14/17,1,19.3,24.8,14.6,71,2.2,9.3,0,0
2/15/17,1,19.6,24.4,14.9,68,1.9,7.7,0,0
2/16/17,1,20.3,25.6,14.7,66,1.8,8.6,0,0
2/17/17,1,21.2,26.8,15.7,68,2.1,8.4,0,0
2/18/17,1,21.7,26.7,17.5,71,1.7,6.5,0,0
2/19/17,1,21.4,25.4,17.1,80,1.9,8.2,0,0
2/20/17,1,24.4,28.6,20.5,82,1.7,8,0,0
2/21/17,1,24.3,28.2,22.8,86,1.9,10,0,0
2/22/17,1,24.6,29.8,20.4,79,2.1,11.1,0,0
2/23/17,1,24.2,28.7,18.2,80,2.2,8.9,0,0
2/24/17,1,20.3,24.8,17.4,77,1.3,6.4,0,0
2/25/17,1,20.4,25.2,16.3,75,1.9,8.1,0,0
2/26/17,1,20,25.8,16.2,72,2.2,7.7,0,0
2/27/17,1,19.7,23.4,15.4,73,1.7,7.3,0,0
2/28/17,1,20.7,26.4,15.7,70,1.7,8.3,0,0
3/1/17,1,20.6,26.8,16.2,71,1.8,8.4,0,0
3/2/17,1,19.8,24.7,16.1,68,2,8.3,0,0
3/3/17,1,20,25.5,15.7,69,1.7,8.3,0,0
3/4/17,1,22.1,25.9,18.2,73,1.8,7.2,0,0
3/5/17,1,23,27.6,18.6,76,2.1,8.4,0,0
3/6/17,1,23.3,28.9,19.1,71,2.2,7.8,0,0
3/7/17,1,20.1,22.8,18.1,78,1.5,4.8,0,0
3/8/17,1,18.3,19,17.3,94,1.4,5.7,1,0
3/9/17,1,21.3,25.5,17.7,81,1.7,6.5,0,0
3/10/17,1,23.3,28.9,18.3,82,2,10.9,2,0
3/11/17,1,22.8,26.8,19.5,85,1.9,6.9,0,0
3/12/17,1,24,27.9,20.7,82,1.9,8.4,0,0
3/13/17,1,25.5,30.9,21.9,76,2.6,9.6,0,0
3/14/17,1,22,24.9,18.8,84,2,6.8,0,3
3/15/17,1,21,23.2,19.5,81,1.1,4.9,0,3
